# rs	functional	E_per_N(Ha)	Ec_per_N(Ha)	Ec_QMC(Ha)	T/N	Exc/N	mu	rho_err	converged	iters
2.0000000000e-01	BBC3	3.8990442095e+01	1.3657504419e+01	-1.0112257165e-01	4.0875853512e+01	-1.8854114169e+00	3.4081419653e+01	1.6999329122e-01	0	1200
3.0000000000e-01	BBC3	1.6702508105e+01	5.9524972412e+00	-9.0011618209e-02	1.8111754071e+01	-1.4092459658e+00	1.5622518848e+01	7.6962730065e-02	0	1200
5.0000000000e-01	BBC3	6.0834709128e+00	2.5799992366e+00	-7.6618735869e-02	6.9623134034e+00	-8.7884249055e-01	5.8114413368e+00	1.0660060106e-01	0	1200
1.0000000000e+00	BBC3	1.2715180275e+00	6.2473275506e-01	-5.9773685807e-02	1.7033488747e+00	-4.3183084724e-01	2.2866290242e+00	1.8791999797e-03	0	1200
2.0000000000e+00	BBC3	1.4739709194e-01	1.0024209716e-01	-4.4759497344e-02	3.6747672111e-01	-2.2007962916e-01	5.0793220419e-01	3.1135879157e-04	0	1200
3.0000000000e+00	BBC3	1.8256914286e-02	4.8206393635e-02	-3.6941216260e-02	1.5306874011e-01	-1.3481182583e-01	2.3124701699e-01	2.3038964439e-05	0	1200
4.0000000000e+00	BBC3	3.5367209118e-02	8.0849122083e-02	-3.1866339888e-02	1.1625952233e-01	-8.0892313214e-02	3.3937292958e-01	6.2694289841e-06	0	1200
5.0000000000e+00	BBC3	-2.3458640672e-02	2.3976395357e-02	-2.8216233275e-02	5.5554607868e-02	-7.9013248539e-02	1.7091151502e-01	1.4768205929e-10	0	1200
6.0000000000e+00	BBC3	8.2745527684e-03	5.3942363713e-02	-2.5427124672e-02	5.4987070673e-02	-4.6712517905e-02	7.2953923637e-02	3.7973096889e-15	0	1200
8.0000000000e+00	BBC3	-2.1716416446e-02	1.8289392625e-02	-2.1390683414e-02	2.2210570043e-02	-4.3926986489e-02	3.0503638731e-02	5.4210108624e-20	0	1200
1.0000000000e+01	BBC3	-2.1042320814e-02	1.3724702858e-02	-1.8572289477e-02	1.4519214911e-02	-3.5561535725e-02	2.8532706938e-02	5.4210108624e-20	0	1200
