# rs	functional	E_per_N(Ha)	Ec_per_N(Ha)	Ec_QMC(Ha)	T/N	Exc/N	mu	rho_err	converged	iters
2.0000000000e-01	Beta(beta=0.650)	2.5338367096e+01	5.4294197858e-03	-1.0112257165e-01	2.7628919580e+01	-2.2905524836e+00	4.2985189431e+01	4.5565116125e-09	1	37
3.0000000000e-01	Beta(beta=0.650)	1.0752483028e+01	2.4721648929e-03	-9.0011618209e-02	1.2279533376e+01	-1.5270503474e+00	1.8425766604e+01	2.9161917325e-10	1	40
5.0000000000e-01	Beta(beta=0.650)	3.5043986104e+00	9.2693411423e-04	-7.6618735869e-02	4.4206508443e+00	-9.1625223397e-01	6.1445658838e+00	4.9060755458e-12	1	45
1.0000000000e+00	Beta(beta=0.650)	6.4703016535e-01	2.4489292305e-04	-5.9773685807e-02	1.1051902516e+00	-4.5816008622e-01	1.2306988943e+00	7.4940054162e-16	1	61
2.0000000000e+00	Beta(beta=0.650)	4.7208043998e-02	5.3049213600e-05	-4.4759497344e-02	2.7635077778e-01	-2.2914273378e-01	1.5497263002e-01	3.4347524824e-16	1	170
3.0000000000e+00	Beta(beta=0.650)	-2.9967428565e-02	-1.7949215472e-05	-3.6941216260e-02	1.2317280356e-01	-1.5314023213e-01	1.0643034021e-03	1.3877787808e-17	1	338
4.0000000000e+00	Beta(beta=0.650)	-4.5675699629e-02	-1.9378666451e-04	-3.1866339888e-02	7.0352633655e-02	-1.1602833328e-01	-3.7492158900e-02	5.2041704279e-18	1	323
5.0000000000e+00	Beta(beta=0.650)	-4.7955210556e-02	-5.2017452774e-04	-2.8216233275e-02	4.6762918141e-02	-9.4718128697e-02	-4.8398384718e-02	4.3368086899e-19	1	238
6.0000000000e+00	Beta(beta=0.650)	-4.6620842593e-02	-9.5303164838e-04	-2.5427124672e-02	3.4482381135e-02	-8.1103223727e-02	-5.0712983435e-02	3.0357660830e-18	1	231
8.0000000000e+00	Beta(beta=0.650)	-4.1848677684e-02	-1.8428686127e-03	-2.1390683414e-02	2.2325248979e-02	-6.4173926663e-02	-4.8396440046e-02	2.1684043450e-18	1	168
1.0000000000e+01	Beta(beta=0.650)	-3.7258656696e-02	-2.4916330247e-03	-1.8572289477e-02	1.6098342790e-02	-5.3356999486e-02	-4.4344053170e-02	5.5023260254e-18	1	156
