# rs	functional	E_per_N(Ha)	Ec_per_N(Ha)	Ec_QMC(Ha)	T/N	Exc/N	mu	rho_err	converged	iters
2.0000000000e-01	CGA	2.5332743410e+01	-1.9426671503e-04	-1.0112257165e-01	2.7624165858e+01	-2.2914224485e+00	4.2984836176e+01	2.1316282073e-14	1	90
3.0000000000e-01	CGA	1.0749760344e+01	-2.5051994393e-04	-9.0011618209e-02	1.2278357142e+01	-1.5285967983e+00	1.8425506704e+01	3.5527136788e-15	1	131
5.0000000000e-01	CGA	3.5023061394e+00	-1.1655368112e-03	-7.6618735869e-02	4.4255641134e+00	-9.2325797393e-01	6.1446896849e+00	1.1102230246e-15	1	135
1.0000000000e+00	CGA	6.3824077133e-01	-8.5445010951e-03	-5.9773685807e-02	1.1324796263e+00	-4.9423885501e-01	1.2287003068e+00	2.7755575616e-16	1	123
2.0000000000e+00	CGA	2.0000552346e-02	-2.7154442439e-02	-4.4759497344e-02	3.3542992341e-01	-3.1542937106e-01	1.4024365295e-01	0.0000000000e+00	1	83
3.0000000000e+00	CGA	-6.9739850140e-02	-3.9790370791e-02	-3.6941216260e-02	1.9114567666e-01	-2.6088552680e-01	-2.4999400775e-02	1.7347234760e-18	1	91
4.0000000000e+00	CGA	-9.2395387178e-02	-4.6913474214e-02	-3.1866339888e-02	1.3618982960e-01	-2.2858521678e-01	-7.0797478843e-02	2.1684043450e-18	1	70
5.0000000000e+00	CGA	-9.7895232286e-02	-5.0460196257e-02	-2.8216233275e-02	1.0599107953e-01	-2.0388631182e-01	-8.5745476940e-02	1.9515639105e-18	1	85
6.0000000000e+00	CGA	-9.7477541652e-02	-5.1809730708e-02	-2.5427124672e-02	8.5955926040e-02	-1.8343346769e-01	-8.9896352601e-02	6.5052130349e-19	1	76
8.0000000000e+00	CGA	-9.1091369504e-02	-5.1085560432e-02	-2.1390683414e-02	6.0211825966e-02	-1.5130319547e-01	-8.7456699144e-02	2.7105054312e-19	1	78
1.0000000000e+01	CGA	-8.3219351455e-02	-4.8452327783e-02	-1.8572289477e-02	4.4413212562e-02	-1.2763256402e-01	-8.1128627116e-02	1.8973538018e-19	1	75
