# rs	functional	E_per_N(Ha)	Ec_per_N(Ha)	Ec_QMC(Ha)	T/N	Exc/N	mu	rho_err	converged	iters
2.0000000000e-01	CHF	2.5333194819e+01	2.5714292653e-04	-1.0112257165e-01	2.7624635723e+01	-2.2914409036e+00	4.2813726203e+01	8.5265128291e-14	1	82
3.0000000000e-01	CHF	1.0749966330e+01	-4.4533391886e-05	-9.0011618209e-02	1.2278422132e+01	-1.5284558016e+00	1.8387457697e+01	3.5527136788e-14	1	131
5.0000000000e-01	CHF	3.5024085854e+00	-1.0630908904e-03	-7.6618735869e-02	4.4256544982e+00	-9.2324591284e-01	6.1447785890e+00	9.7699626167e-15	1	149
1.0000000000e+00	CHF	6.3826746357e-01	-8.5178088501e-03	-5.9773685807e-02	1.1325046094e+00	-4.9423714581e-01	1.2287379053e+00	1.9984014443e-15	1	127
2.0000000000e+00	CHF	2.0007670757e-02	-2.7147324028e-02	-4.4759497344e-02	3.3543391659e-01	-3.1542624583e-01	1.4025365575e-01	6.9388939039e-17	1	107
3.0000000000e+00	CHF	-6.9736167126e-02	-3.9786687777e-02	-3.6941216260e-02	1.9114636243e-01	-2.6088252956e-01	-2.4994176385e-02	8.6736173799e-18	1	98
4.0000000000e+00	CHF	-9.2393045555e-02	-4.6911132590e-02	-3.1866339888e-02	1.3619060000e-01	-2.2858364556e-01	-7.0794330925e-02	3.1658703437e-17	1	93
5.0000000000e+00	CHF	-9.7893674612e-02	-5.0458638584e-02	-2.8216233275e-02	1.0599215776e-01	-2.0388583237e-01	-8.5743535641e-02	4.3368086899e-19	1	89
6.0000000000e+00	CHF	-9.7476494893e-02	-5.1808683948e-02	-2.5427124672e-02	8.5957074655e-02	-1.8343356955e-01	-8.9895135408e-02	6.5052130349e-19	1	85
8.0000000000e+00	CHF	-9.1090898126e-02	-5.1085089054e-02	-2.1390683414e-02	6.0212775483e-02	-1.5130367361e-01	-8.7456206842e-02	1.1384122811e-18	1	80
1.0000000000e+01	CHF	-8.3219155886e-02	-4.8452132214e-02	-1.8572289477e-02	4.4413917447e-02	-1.2763307333e-01	-8.1128443268e-02	9.3783487920e-18	1	76
