# rs	functional	E_per_N(Ha)	Ec_per_N(Ha)	Ec_QMC(Ha)	T/N	Exc/N	mu	rho_err	converged	iters
2.0000000000e-01	GEO	2.5304655567e+01	-2.8282109692e-02	-1.0112257165e-01	2.7647729097e+01	-2.3430735303e+00	4.3118265788e+01	1.5427303879e-10	1	57
3.0000000000e-01	GEO	1.0724311145e+01	-2.5699719005e-02	-9.0011618209e-02	1.2295023829e+01	-1.5707126848e+00	1.8409971800e+01	4.5478287802e-11	1	57
5.0000000000e-01	GEO	3.4819385488e+00	-2.1533127491e-02	-7.6618735869e-02	4.4342665465e+00	-9.5232799771e-01	6.1131445598e+00	3.5322855751e-12	1	59
1.0000000000e+00	GEO	6.2992221783e-01	-1.6863054593e-02	-5.9773685807e-02	1.1149390865e+00	-4.8501686871e-01	1.2088108644e+00	4.4159120804e-13	1	59
2.0000000000e+00	GEO	3.4663788317e-02	-1.2491206468e-02	-4.4759497344e-02	2.8287261324e-01	-2.4820882492e-01	1.4029763626e-01	7.2684913643e-15	1	63
3.0000000000e+00	GEO	-4.0198686285e-02	-1.0249206936e-02	-3.6941216260e-02	1.2779259880e-01	-1.6799128509e-01	-1.1147574305e-02	5.5858095926e-16	1	65
4.0000000000e+00	GEO	-5.4302567161e-02	-8.8206541970e-03	-3.1866339888e-02	7.3150354792e-02	-1.2745292195e-01	-4.8035547044e-02	2.4806545706e-16	1	66
5.0000000000e+00	GEO	-5.5244200280e-02	-7.8091642519e-03	-2.8216233275e-02	4.7678989079e-02	-1.0292318936e-01	-5.7707802960e-02	3.1225022568e-17	1	69
6.0000000000e+00	GEO	-5.2715789001e-02	-7.0479780569e-03	-2.5427124672e-02	3.3722054313e-02	-8.6437843314e-02	-5.9061271736e-02	7.1557343384e-18	1	69
8.0000000000e+00	GEO	-4.5971316656e-02	-5.9655075846e-03	-2.1390683414e-02	1.9712273776e-02	-6.5683590432e-02	-5.4719735480e-02	3.4477629085e-17	1	55
1.0000000000e+01	GEO	-3.9990586481e-02	-5.2235628095e-03	-1.8572289477e-02	1.3132164947e-02	-5.3122751428e-02	-4.8917284747e-02	8.8226951786e-16	1	47
