# rs	functional	E_per_N(Ha)	Ec_per_N(Ha)	Ec_QMC(Ha)	T/N	Exc/N	mu	rho_err	converged	iters
2.0000000000e-01	GU	2.5166833595e+01	-1.6610408102e-01	-1.0112257165e-01	2.7741126068e+01	-2.5742924726e+00	4.2742928327e+01	1.4810694893e-09	1	39
3.0000000000e-01	GU	1.0601870545e+01	-1.4814031854e-01	-9.0011618209e-02	1.2382740753e+01	-1.7808702075e+00	1.8287561692e+01	2.6330937430e-10	1	40
5.0000000000e-01	GU	3.3764981755e+00	-1.2697350080e-01	-7.6618735869e-02	4.5087914942e+00	-1.1322933188e+00	6.0100614013e+00	1.2286394124e-11	1	43
1.0000000000e+00	GU	5.4371957793e-01	-1.0306569450e-01	-5.9773685807e-02	1.1776366101e+00	-6.3391703216e-01	1.1172247023e+00	4.2882364326e-14	1	50
2.0000000000e+00	GU	-3.8173468005e-02	-8.5328462790e-02	-4.4759497344e-02	3.4100178161e-01	-3.7917524962e-01	6.3409447701e-02	2.0816681712e-17	1	60
3.0000000000e+00	GU	-1.0831054147e-01	-7.8361062119e-02	-3.6941216260e-02	1.8762773789e-01	-2.9593827936e-01	-8.0822023739e-02	1.3877787808e-17	1	69
4.0000000000e+00	GU	-1.2082679991e-01	-7.5344886945e-02	-3.1866339888e-02	1.3716410453e-01	-2.5799090444e-01	-1.1368076875e-01	2.1684043450e-18	1	77
5.0000000000e+00	GU	-1.2179833604e-01	-7.4363300008e-02	-2.8216233275e-02	1.1715038190e-01	-2.3894871793e-01	-1.2074891030e-01	2.6020852140e-18	1	86
6.0000000000e+00	GU	-1.2024460052e-01	-7.4576789578e-02	-2.5427124672e-02	1.0894216442e-01	-2.2918676494e-01	-1.2024459979e-01	6.5052130349e-19	1	95
8.0000000000e+00	GU	-1.1591499623e-01	-7.5909187156e-02	-2.1390683414e-02	9.6715870909e-02	-2.1263086714e-01	-1.1591499497e-01	1.6263032587e-19	1	89
1.0000000000e+01	GU	-1.1081987509e-01	-7.6052851422e-02	-1.8572289477e-02	8.4256334936e-02	-1.9507621003e-01	-1.1081987313e-01	1.8973538018e-19	1	83
