# rs	functional	E_per_N(Ha)	Ec_per_N(Ha)	Ec_QMC(Ha)	T/N	Exc/N	mu	rho_err	converged	iters
2.0000000000e-01	HF	2.5339442757e+01	6.5050802701e-03	-1.0112257165e-01	2.7628891950e+01	-2.2894491930e+00	4.2981866051e+01	1.9046460409e-08	1	34
3.0000000000e-01	HF	1.0753208071e+01	3.1972075396e-03	-9.0011618209e-02	1.2279507533e+01	-1.5262994620e+00	1.8424318991e+01	5.6433933082e-09	1	34
5.0000000000e-01	HF	3.5048430347e+00	1.3713584563e-03	-7.6618735869e-02	4.4206227119e+00	-9.1577967721e-01	6.1440673740e+00	1.2189733667e-09	1	34
1.0000000000e+00	HF	6.4726583938e-01	4.8056695288e-04	-5.9773685807e-02	1.1051556780e+00	-4.5788983861e-01	1.2305871792e+00	1.5237167084e-10	1	34
2.0000000000e+00	HF	4.7344000193e-02	1.8900540762e-04	-4.4759497344e-02	2.7628891950e-01	-2.2894491930e-01	1.5493180025e-01	1.9046458855e-11	1	34
3.0000000000e+00	HF	-2.9834870871e-02	1.1460847868e-04	-3.6941216260e-02	1.2279507533e-01	-1.5262994620e-01	9.8516968274e-04	5.6433954732e-12	1	34
4.0000000000e+00	HF	-4.5400229774e-02	8.1683189795e-05	-3.1866339888e-02	6.9072229893e-02	-1.1447245967e-01	-3.7624634392e-02	8.5709044029e-13	1	36
5.0000000000e+00	HF	-4.7371740602e-02	6.3295426075e-05	-2.8216233275e-02	4.4206227131e-02	-9.1577967734e-02	-4.8514193001e-02	4.3883039563e-13	1	36
6.0000000000e+00	HF	-4.5616204270e-02	5.1606674084e-05	-2.5427124672e-02	3.0698768841e-02	-7.6314973111e-02	-5.0658763883e-02	2.5395267486e-13	1	36
8.0000000000e+00	HF	-3.9968172360e-02	3.7636710896e-05	-2.1390683414e-02	1.7268057473e-02	-5.7236229833e-02	-4.7584950770e-02	1.0713630504e-13	1	36
1.0000000000e+01	HF	-3.4737427084e-02	2.9596587276e-05	-1.8572289477e-02	1.1051556783e-02	-4.5788983867e-02	-4.2671581988e-02	5.4853799454e-14	1	36
