# rs	functional	E_per_N(Ha)	Ec_per_N(Ha)	Ec_QMC(Ha)	T/N	Exc/N	mu	rho_err	converged	iters
2.0000000000e-01	hybopt(lam=0.9383,alpha=0.5411)	2.5234285004e+01	-9.8652672201e-02	-1.0112257165e-01	2.7696509227e+01	-2.4622242231e+00	4.2902376903e+01	1.3719514413e-10	1	55
3.0000000000e-01	hybopt(lam=0.9383,alpha=0.5411)	1.0662073409e+01	-8.7937454960e-02	-9.0011618209e-02	1.2339457840e+01	-1.6773844310e+00	1.8330992862e+01	2.4462210035e-11	1	56
5.0000000000e-01	hybopt(lam=0.9383,alpha=0.5411)	3.4282860200e+00	-7.5185656281e-02	-7.6618735869e-02	4.4708442201e+00	-1.0425582001e+00	6.0615881855e+00	5.2775561699e-12	1	56
1.0000000000e+00	hybopt(lam=0.9383,alpha=0.5411)	5.8729315146e-01	-5.9492120963e-02	-5.9773685807e-02	1.1434389021e+00	-5.5614575062e-01	1.1648755811e+00	1.3786194408e-13	1	58
2.0000000000e+00	hybopt(lam=0.9383,alpha=0.5411)	1.0294432095e-03	-4.6125551575e-02	-4.4759497344e-02	3.0488025773e-01	-3.0385081452e-01	1.0377074441e-01	1.5647205753e-15	1	63
3.0000000000e+00	hybopt(lam=0.9383,alpha=0.5411)	-6.9420467981e-02	-3.9470988632e-02	-3.6941216260e-02	1.4689816204e-01	-2.1631863002e-01	-4.2520727228e-02	3.2959746044e-17	1	64
4.0000000000e+00	hybopt(lam=0.9383,alpha=0.5411)	-8.0750866668e-02	-3.5268953704e-02	-3.1866339888e-02	9.0450267535e-02	-1.7120113420e-01	-7.6136864651e-02	1.6046192153e-17	1	71
5.0000000000e+00	hybopt(lam=0.9383,alpha=0.5411)	-7.9728808937e-02	-3.2293772909e-02	-2.8216233275e-02	6.3691887338e-02	-1.4342069628e-01	-8.3374796545e-02	2.1684043450e-19	1	76
6.0000000000e+00	hybopt(lam=0.9383,alpha=0.5411)	-7.5703564655e-02	-3.0035753711e-02	-2.5427124672e-02	4.8749609790e-02	-1.2445317444e-01	-8.2669328083e-02	3.4911309954e-17	1	75
8.0000000000e+00	hybopt(lam=0.9383,alpha=0.5411)	-6.6765297974e-02	-2.6759488902e-02	-2.1390683414e-02	3.3194846012e-02	-9.9960143986e-02	-7.5313296950e-02	7.3183646643e-18	1	82
1.0000000000e+01	hybopt(lam=0.9383,alpha=0.5411)	-5.9195888975e-02	-2.4428865303e-02	-1.8572289477e-02	2.5396905435e-02	-8.4592794409e-02	-6.7238965548e-02	1.9515639105e-18	1	89
