# rs	functional	E_per_N(Ha)	Ec_per_N(Ha)	Ec_QMC(Ha)	T/N	Exc/N	mu	rho_err	converged	iters
2.0000000000e-01	Mueller	2.5167024160e+01	-1.6591351629e-01	-1.0112257165e-01	2.7741299718e+01	-2.5742755582e+00	4.2810189319e+01	1.2480327882e-10	1	39
3.0000000000e-01	Mueller	1.0603010629e+01	-1.4700023469e-01	-9.0011618209e-02	1.2379729673e+01	-1.7767190441e+00	1.8267023445e+01	1.3315570868e-11	1	41
5.0000000000e-01	Mueller	3.3779047743e+00	-1.2556690192e-01	-7.6618735869e-02	4.5061455823e+00	-1.1282408080e+00	6.0079999388e+00	6.1683991248e-13	1	44
1.0000000000e+00	Mueller	5.4583659859e-01	-1.0094867383e-01	-5.9773685807e-02	1.1741589421e+00	-6.2832234347e-01	1.1216711836e+00	6.3282712404e-15	1	49
2.0000000000e+00	Mueller	-3.4366656657e-02	-8.1521651442e-02	-4.4759497344e-02	3.3335779599e-01	-3.6772445265e-01	6.9359004918e-02	5.5511151231e-17	1	57
3.0000000000e+00	Mueller	-1.0236864386e-01	-7.2419164514e-02	-3.6941216260e-02	1.7458030246e-01	-2.7694894632e-01	-7.2483189146e-02	2.0816681712e-17	1	63
4.0000000000e+00	Mueller	-1.1229278168e-01	-6.6810868720e-02	-3.1866339888e-02	1.1739011037e-01	-2.2968289206e-01	-1.0298584279e-01	7.8062556419e-18	1	68
5.0000000000e+00	Mueller	-1.1025980867e-01	-6.2824772646e-02	-2.8216233275e-02	8.9689196530e-02	-1.9994900520e-01	-1.0776529568e-01	3.0357660830e-18	1	72
6.0000000000e+00	Mueller	-1.0538452761e-01	-5.9716716664e-02	-2.5427124672e-02	7.3574182859e-02	-1.7895871047e-01	-1.0501695261e-01	8.6736173799e-19	1	76
8.0000000000e+00	Mueller	-9.4833740598e-02	-5.4827931527e-02	-2.1390683414e-02	5.4348892549e-02	-1.4918263315e-01	-9.4833740267e-02	1.2468324984e-18	1	79
1.0000000000e+01	Mueller	-8.5353134189e-02	-5.0586110517e-02	-1.8572289477e-02	4.1286833393e-02	-1.2663996758e-01	-8.5353133843e-02	1.6263032587e-19	1	75
