# rs	functional	E_per_N(Ha)	Ec_per_N(Ha)	Ec_QMC(Ha)	T/N	Exc/N	mu	rho_err	converged	iters
2.0000000000e-01	optGM(a=-0.0995,b=0.7960,c=0.5970)	2.5239234402e+01	-9.3703273923e-02	-1.0112257165e-01	2.7689752310e+01	-2.4505179076e+00	4.2876313845e+01	8.2422957348e-11	1	56
3.0000000000e-01	optGM(a=-0.0995,b=0.7960,c=0.5970)	1.0667052086e+01	-8.2958777137e-02	-9.0011618209e-02	1.2334700095e+01	-1.6676480090e+00	1.8334189892e+01	1.4649614855e-11	1	57
5.0000000000e-01	optGM(a=-0.0995,b=0.7960,c=0.5970)	3.4329245607e+00	-7.0547115536e-02	-7.6618735869e-02	4.4672225754e+00	-1.0342980147e+00	6.0672673915e+00	3.1530333899e-12	1	57
1.0000000000e+00	optGM(a=-0.0995,b=0.7960,c=0.5970)	5.9115658412e-01	-5.5628688306e-02	-5.9773685807e-02	1.1407391211e+00	-5.4958253700e-01	1.1693348817e+00	8.4682261203e-14	1	60
2.0000000000e+00	optGM(a=-0.0995,b=0.7960,c=0.5970)	4.0846236719e-03	-4.3070371113e-02	-4.4759497344e-02	3.0293659738e-01	-2.9885197371e-01	1.0760222536e-01	1.5369649997e-15	1	63
3.0000000000e+00	optGM(a=-0.0995,b=0.7960,c=0.5970)	-6.6792332520e-02	-3.6842853171e-02	-3.6941216260e-02	1.4525462350e-01	-2.1204695602e-01	-3.9086582153e-02	1.3183898417e-16	1	55
4.0000000000e+00	optGM(a=-0.0995,b=0.7960,c=0.5970)	-7.8389835326e-02	-3.2907922362e-02	-3.1866339888e-02	8.8955940131e-02	-1.6734577546e-01	-7.2947111696e-02	1.4051260155e-16	1	56
5.0000000000e+00	optGM(a=-0.0995,b=0.7960,c=0.5970)	-7.7549601181e-02	-3.0114565153e-02	-2.8216233275e-02	6.2274187462e-02	-1.3982378864e-01	-8.0357462937e-02	6.2883726004e-18	1	64
6.0000000000e+00	optGM(a=-0.0995,b=0.7960,c=0.5970)	-7.3654914349e-02	-2.7987103405e-02	-2.5427124672e-02	4.7371381151e-02	-1.2102629550e-01	-7.9784627713e-02	6.5052130349e-19	1	66
8.0000000000e+00	optGM(a=-0.0995,b=0.7960,c=0.5970)	-6.4889191596e-02	-2.4883382525e-02	-2.1390683414e-02	3.1850564255e-02	-9.6739755851e-02	-7.2630715062e-02	1.2902005853e-17	1	74
1.0000000000e+01	optGM(a=-0.0995,b=0.7960,c=0.5970)	-5.7428192623e-02	-2.2661168952e-02	-1.8572289477e-02	2.4074918552e-02	-8.1503111175e-02	-6.4716938816e-02	2.1684043450e-19	1	65
