# rs	functional	E_per_N(Ha)	Ec_per_N(Ha)	Ec_QMC(Ha)	T/N	Exc/N	mu	rho_err	converged	iters
2.0000000000e-01	optGM(lam=0.9401,alpha=0.5424)	2.5234648485e+01	-9.8289190906e-02	-1.0112257165e-01	2.7693947644e+01	-2.4592991586e+00	4.2865671524e+01	8.2398088352e-11	1	56
3.0000000000e-01	optGM(lam=0.9401,alpha=0.5424)	1.0662613053e+01	-8.7397810248e-02	-9.0011618209e-02	1.2338672147e+01	-1.6760590940e+00	1.8332423706e+01	2.4451551894e-11	1	56
5.0000000000e-01	optGM(lam=0.9401,alpha=0.5424)	3.4288920572e+00	-7.4579619010e-02	-7.6618735869e-02	4.4702907341e+00	-1.0413986768e+00	6.0619331762e+00	3.1623592633e-12	1	57
1.0000000000e+00	optGM(lam=0.9401,alpha=0.5424)	5.8782291227e-01	-5.8962360153e-02	-5.9773685807e-02	1.1430035004e+00	-5.5518058810e-01	1.1652919910e+00	1.4227508061e-13	1	59
2.0000000000e+00	optGM(lam=0.9401,alpha=0.5424)	1.4834232992e-03	-4.5671571486e-02	-4.4759497344e-02	3.0452088891e-01	-3.0303746561e-01	1.0421845202e-01	1.2490009027e-15	1	63
3.0000000000e+00	optGM(lam=0.9401,alpha=0.5424)	-6.9001823012e-02	-3.9052343663e-02	-3.6941216260e-02	1.4655686309e-01	-2.1555868610e-01	-4.2123602527e-02	8.1532003371e-17	1	55
4.0000000000e+00	optGM(lam=0.9401,alpha=0.5424)	-8.0353047781e-02	-3.4871134817e-02	-3.1866339888e-02	9.0120396613e-02	-1.7047344439e-01	-7.5773663965e-02	3.4694469520e-18	1	60
5.0000000000e+00	optGM(lam=0.9401,alpha=0.5424)	-7.9345124250e-02	-3.1910088221e-02	-2.8216233275e-02	6.3368931450e-02	-1.4271405570e-01	-8.3043242576e-02	2.3852447795e-18	1	62
6.0000000000e+00	optGM(lam=0.9401,alpha=0.5424)	-7.5330628633e-02	-2.9662817689e-02	-2.5427124672e-02	4.8434364814e-02	-1.2376499345e-01	-8.2363335216e-02	5.4210108624e-18	1	69
8.0000000000e+00	optGM(lam=0.9401,alpha=0.5424)	-6.6408983337e-02	-2.6403174266e-02	-2.1390683414e-02	3.2897817604e-02	-9.9306800941e-02	-7.5048730727e-02	1.8431436932e-18	1	77
1.0000000000e+01	optGM(lam=0.9401,alpha=0.5424)	-5.8853536850e-02	-2.4086513179e-02	-1.8572289477e-02	2.5120600389e-02	-8.3974137239e-02	-6.7008005824e-02	1.4907779872e-18	1	94
