# rs	functional	E_per_N(Ha)	Ec_per_N(Ha)	Ec_QMC(Ha)	T/N	Exc/N	mu	rho_err	converged	iters
2.0000000000e-01	optGeo(a=-0.0822,b=0.8013,c=0.5926)	2.5238243283e+01	-9.4694392868e-02	-1.0112257165e-01	2.7692534519e+01	-2.4542912361e+00	4.2900941987e+01	8.4433793290e-11	1	57
3.0000000000e-01	optGeo(a=-0.0822,b=0.8013,c=0.5926)	1.0665864177e+01	-8.4146687051e-02	-9.0011618209e-02	1.2335721271e+01	-1.6698570950e+00	1.8327575576e+01	1.4955148231e-11	1	58
5.0000000000e-01	optGeo(a=-0.0822,b=0.8013,c=0.5926)	3.4317682934e+00	-7.1703382860e-02	-7.6618735869e-02	4.4682828559e+00	-1.0365145625e+00	6.0674533918e+00	3.2451819010e-12	1	58
1.0000000000e+00	optGeo(a=-0.0822,b=0.8013,c=0.5926)	5.9017093305e-01	-5.6614339371e-02	-5.9773685807e-02	1.1413965803e+00	-5.5122564725e-01	1.1677947401e+00	1.4474532684e-13	1	60
2.0000000000e+00	optGeo(a=-0.0822,b=0.8013,c=0.5926)	3.2637117395e-03	-4.3891283045e-02	-4.4759497344e-02	3.0354470618e-01	-3.0028099444e-01	1.0675366823e-01	1.6028844918e-15	1	65
3.0000000000e+00	optGeo(a=-0.0822,b=0.8013,c=0.5926)	-6.7533020630e-02	-3.7583541281e-02	-3.6941216260e-02	1.4580972753e-01	-2.1334274816e-01	-3.9835965842e-02	1.7347234760e-18	1	70
4.0000000000e+00	optGeo(a=-0.0822,b=0.8013,c=0.5926)	-7.9080816714e-02	-3.3598903749e-02	-3.1866339888e-02	8.9482844778e-02	-1.6856366149e-01	-7.3615558547e-02	9.9746599869e-18	1	73
5.0000000000e+00	optGeo(a=-0.0822,b=0.8013,c=0.5926)	-7.8205357063e-02	-3.0770321035e-02	-2.8216233275e-02	6.2777800501e-02	-1.4098315756e-01	-8.0967912487e-02	3.4694469520e-18	1	76
6.0000000000e+00	optGeo(a=-0.0822,b=0.8013,c=0.5926)	-7.4283449953e-02	-2.8615639009e-02	-2.5427124672e-02	4.7853551648e-02	-1.2213700160e-01	-8.0349011634e-02	1.2143064332e-17	1	80
8.0000000000e+00	optGeo(a=-0.0822,b=0.8013,c=0.5926)	-6.5476181293e-02	-2.5470372222e-02	-2.1390683414e-02	3.2293339365e-02	-9.7769520659e-02	-7.3121669706e-02	7.9688859678e-18	1	86
1.0000000000e+01	optGeo(a=-0.0822,b=0.8013,c=0.5926)	-5.7982832568e-02	-2.3215808897e-02	-1.8572289477e-02	2.4481681417e-02	-8.2464513985e-02	-6.5149947331e-02	4.0657581468e-19	1	93
