# rs	functional	E_per_N(Ha)	Ec_per_N(Ha)	Ec_QMC(Ha)	T/N	Exc/N	mu	rho_err	converged	iters
2.0000000000e-01	Power(alpha=0.580000)	2.5256675575e+01	-7.6262101346e-02	-1.0112257165e-01	2.7681653320e+01	-2.4249777452e+00	4.2922657552e+01	1.1513812126e-09	1	36
3.0000000000e-01	Power(alpha=0.580000)	1.0681527619e+01	-6.8483244380e-02	-9.0011618209e-02	1.2326402136e+01	-1.6448745165e+00	1.8347191974e+01	1.2282441730e-10	1	38
5.0000000000e-01	Power(alpha=0.580000)	3.4446386799e+00	-5.8832996363e-02	-7.6618735869e-02	4.4601338167e+00	-1.0154951369e+00	6.0811300542e+00	9.5505825470e-12	1	40
1.0000000000e+00	Power(alpha=0.580000)	6.0034402387e-01	-4.6441248551e-02	-5.9773685807e-02	1.1343539766e+00	-5.3400995273e-01	1.1783950342e+00	2.5773827517e-13	1	43
2.0000000000e+00	Power(alpha=0.580000)	1.1713476844e-02	-3.5441517940e-02	-4.4759497344e-02	2.9701797192e-01	-2.8530449508e-01	1.1481875839e-01	2.4737156767e-15	1	48
3.0000000000e+00	Power(alpha=0.580000)	-5.9762373866e-02	-2.9812894517e-02	-3.6941216260e-02	1.3949260251e-01	-1.9925497638e-01	-3.2878173184e-02	9.5409791179e-17	1	52
4.0000000000e+00	Power(alpha=0.580000)	-7.1691717445e-02	-2.6209804481e-02	-3.1866339888e-02	8.3316209542e-02	-1.5500792699e-01	-6.7421385549e-02	0.0000000000e+00	1	56
5.0000000000e+00	Power(alpha=0.580000)	-7.1075777945e-02	-2.3640741916e-02	-2.8216233275e-02	5.6765124373e-02	-1.2784090232e-01	-7.5362704352e-02	2.6020852140e-18	1	60
6.0000000000e+00	Power(alpha=0.580000)	-6.7354129020e-02	-2.1686318076e-02	-2.5427124672e-02	4.2010581691e-02	-1.0936471071e-01	-7.5230358099e-02	2.1684043450e-19	1	63
8.0000000000e+00	Power(alpha=0.580000)	-5.8864849582e-02	-1.8859040511e-02	-2.1390683414e-02	2.6826014506e-02	-8.5690864089e-02	-6.8795195891e-02	0.0000000000e+00	1	70
1.0000000000e+01	Power(alpha=0.580000)	-5.1639153659e-02	-1.6872129988e-02	-1.8572289477e-02	1.9403076623e-02	-7.1042230282e-02	-6.1465249116e-02	5.4210108624e-20	1	77
