# rs	functional	E_per_N(Ha)	Ec_per_N(Ha)	Ec_QMC(Ha)	T/N	Exc/N	mu	rho_err	converged	iters
2.0000000000e-01	HF	2.5339442757e+01	6.5050802701e-03	-1.0112257165e-01	2.7628891950e+01	-2.2894491930e+00	4.2981866051e+01	1.9046460409e-08	1	34
2.0000000000e-01	Mueller	2.5166833595e+01	-1.6610408102e-01	-1.0112257165e-01	2.7741126068e+01	-2.5742924726e+00	4.2742928327e+01	1.4810694893e-09	1	39
2.0000000000e-01	Power(alpha=0.550000)	2.5231534022e+01	-1.0140365440e-01	-1.0112257165e-01	2.7693216732e+01	-2.4616827103e+00	4.2725939888e+01	2.4684112532e-09	1	38
2.0000000000e-01	Power(alpha=0.580000)	2.5256368489e+01	-7.6569186756e-02	-1.0112257165e-01	2.7675189911e+01	-2.4188214220e+00	4.2748612741e+01	5.2906855785e-08	1	32
3.0000000000e-01	HF	1.0753208071e+01	3.1972075396e-03	-9.0011618209e-02	1.2279507533e+01	-1.5262994620e+00	1.8424318991e+01	5.6433933082e-09	1	34
3.0000000000e-01	Mueller	1.0601870545e+01	-1.4814031854e-01	-9.0011618209e-02	1.2382740753e+01	-1.7808702075e+00	1.8287561692e+01	2.6330937430e-10	1	40
3.0000000000e-01	Power(alpha=0.550000)	1.0659454938e+01	-9.0555925185e-02	-9.0011618209e-02	1.2343386312e+01	-1.6839313733e+00	1.8348228839e+01	4.3882941725e-10	1	39
3.0000000000e-01	Power(alpha=0.580000)	1.0681863850e+01	-6.8147013952e-02	-9.0011618209e-02	1.2327592483e+01	-1.6457286336e+00	1.8360659699e+01	7.3137940149e-10	1	38
5.0000000000e-01	HF	3.5048430347e+00	1.3713584563e-03	-7.6618735869e-02	4.4206227119e+00	-9.1577967721e-01	6.1440673740e+00	1.2189733667e-09	1	34
5.0000000000e-01	Mueller	3.3764981755e+00	-1.2697350080e-01	-7.6618735869e-02	4.5087914942e+00	-1.1322933188e+00	6.0100614013e+00	1.2286394124e-11	1	43
5.0000000000e-01	Power(alpha=0.550000)	3.4257520365e+00	-7.7719639709e-02	-7.6618735869e-02	4.4731245453e+00	-1.0473725087e+00	6.0577486905e+00	3.4124036929e-11	1	41
5.0000000000e-01	Power(alpha=0.580000)	3.4446776455e+00	-5.8794030748e-02	-7.6618735869e-02	4.4592270947e+00	-1.0145494492e+00	6.0680320862e+00	5.6870064213e-11	1	40
1.0000000000e+00	HF	6.4726583938e-01	4.8056695288e-04	-5.9773685807e-02	1.1051556780e+00	-4.5788983861e-01	1.2305871792e+00	1.5237167084e-10	1	34
1.0000000000e+00	Mueller	5.4371957793e-01	-1.0306569450e-01	-5.9773685807e-02	1.1776366101e+00	-6.3391703216e-01	1.1172247023e+00	4.2882364326e-14	1	50
1.0000000000e+00	Power(alpha=0.550000)	5.8498136830e-01	-6.1803904124e-02	-5.9773685807e-02	1.1452460890e+00	-5.6026472070e-01	1.1612244667e+00	5.5244697705e-13	1	45
1.0000000000e+00	Power(alpha=0.580000)	6.0029339486e-01	-4.6491877562e-02	-5.9773685807e-02	1.1346200066e+00	-5.3432661170e-01	1.1791458953e+00	1.5359657990e-12	1	43
2.0000000000e+00	HF	4.7344000193e-02	1.8900540762e-04	-4.4759497344e-02	2.7628891950e-01	-2.2894491930e-01	1.5493180025e-01	1.9046458855e-11	1	34
2.0000000000e+00	Mueller	-3.8173468005e-02	-8.5328462790e-02	-4.4759497344e-02	3.4100178161e-01	-3.7917524962e-01	6.3409447701e-02	2.0816681712e-17	1	60
2.0000000000e+00	Power(alpha=0.550000)	-1.0659794635e-03	-4.8220974248e-02	-4.4759497344e-02	3.0678742951e-01	-3.0785340897e-01	1.0088910638e-01	3.1953606427e-15	1	51
2.0000000000e+00	Power(alpha=0.580000)	1.1592216346e-02	-3.5562778439e-02	-4.4759497344e-02	2.9729382772e-01	-2.8570161137e-01	1.1462173831e-01	1.4984541385e-14	1	48
3.0000000000e+00	HF	-2.9834870871e-02	1.1460847868e-04	-3.6941216260e-02	1.2279507533e-01	-1.5262994620e-01	9.8516968274e-04	5.6433954732e-12	1	34
